Master_No,No,Map_Datum ,Zone ,Units_coordinates,Method,Date,Observers,Location,Unit,Sheet_ID,No._on_sheet,Time,Species,,Adult/Egg/Larvae,Y,X,SVL(mm),Use_for_size,STAGE,Sex,Mass(g),Disposition,Microhabitat,Habitat_Type,Comments,Color,Pads,Eggs,No_of_Individuals,Age,Recap,Carapace_L,Plastron_L,Notch_Rear_Right,Notch_Rear_Left,Notch_Front_Right,Notch_Front_Left,Notch_Code
,257,NAD83,18N,UTM,INCIDENTAL,13-Jun-15,,,YT,IN-29-May-15-01,,2122,SCHO,,,4117869,365867,50,YES,F,F,13.75,A,leaf litter,forest,"gravid, head width 19.8",,N,Y,1,,,,,,,,,
,260,NAD83,18N,UTM,INCIDENTAL,13-Jun-15,,,YT,IN-29-May-15-01,,2214,SCHO,,,4117617,366114,,,F,F,,A,tree root mound,pond,gravid,,N,Y,1,,,,,,,,,
,264,NAD83,18N,UTM,INCIDENTAL,14-Jun-15,,,YT,IN-29-May-15-01,,0:04,SCHO,,,4120829,366782,66,YES,F,F,26,A,soil,mixed suc. scrub,not gravid. 25 head width,,,N,1,,,,,,,,,
,265,NAD83,18N,UTM,INCIDENTAL,14-Jun-15,,,YT,IN-29-May-15-01,,0:21,SCHO,,,4120815,366580,,,F,F,,A,leaf litter,mixed suc. scrub,not gravid,,,N,1,,,,,,,,,
,392,NAD83,18N,UTM,INCIDENTAL,30-Jul-15,,,YT,IN-30-Jul-15-01,,2210,SCHO,,,4120652,366007,,,F,F,,Alive,Leaf litter,Forest,Adult,,,,1,,,,,,,,,
,229,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,25,2351,SCHO,,,4121349,363792,,,F,F,,Alive,Road,Forest,Gravid,,N,Y,1,,,,,,,,,
,277,NAD83,18N,UTM,ROAD CRUISE,10-Aug-15,ADS JLEE KB ES,Yorktown Tour Roads,YT,RD-10-Aug-15-01,3,2136,SCHO,,Adult,4119353,367631,,,F,F,,Alive,Leaf Litter,Forest,,,,,1,,,,,,,,,
,80,NAD83,18N,UTM,ROAD CRUISE,15-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-15-Jul-2016-01,1,2342,SCHO,,Adult,4119028,367165,,,F,F,,A,Road,,"Gravid
",,N,Y,1,,,,,,,,,
,81,NAD83,18N,UTM,ROAD CRUISE,15-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-15-Jul-2016-01,2,32,SCHO,,Adult,4121593,363079,,,F,F,,A,Road,,"Gravid
",,N,Y,1,,,,,,,,,
,83,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,2,2201,SCHO,,Adult,4118867,366434,,,F,F,,A,Grass,,"Gravid
",,N,Y,1,,,,,,,,,
,84,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,3,2210,SCHO,,Adult,4118431,366347,,,F,F,,A,Field,,"in burrow 
",,,,1,,,,,,,,,
,86,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,5,2210,SCHO,,Adult,4118428,366344,,,F,F,,A,Field,,,,,,1,,,,,,,,,
,249,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,3,2135,SCHO,,,4118220,365453,,,F,F,,Alive,In burrow,Forest,,,,,1,,,,,,,,,
,257,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,11,2207,SCHO,,,4117760,364887,,,F,F,,Alive,1/2 burrow,Forest,,,,,1,,,,,,,,,
,207,NAD83  ,18N,UTM,INCIDENTAL,20-Sep-16,,,YT,IN-20-Sep-2016-01,,2218,SCHO,,,4120445,363856,,,F,"F; gravid
",,A,Road,,,,,Y,1,,,,,,,,,
,103,NAD83  ,18N,UTM,INCIDENTAL,11-Apr-16,,,YT,IN-01-Apr-2016-01,,105,SCHO,,,4121106,366681,,,M,M,,A,grass,field,"adult, GPS Pt. 156, yellow, nuptial pads present",Y,Y,N,1,,,,,,,,,
,113,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2040,SCHO,,,4121622,363097,49.8,,M,,,A,"grass, in burrow",field edge,"point 362, yellow, pads, 3D6-001836F61C (20 APR; 20:31:35) - PIT - 255132",Y,Y,N,1,,,,,,,,,
,121,NAD83  ,18N,UTM,INCIDENTAL,21-Apr-16,,,YT,IN-21-Apr-2016-01,,2327,SCHO,,,4119107,367128,54.5,,M,,,A,grass,field,"yellow, pads, point 366",Y,Y,N,1,,,,,,,,,
,164,NAD83  ,18N,UTM,INCIDENTAL,30-May-16,,,YT,IN-18-May-2016-01,,2319,SCHO,1,,4119094,366850,,,M,M,,A,pond,-,"calling index 1, surrender road, brushy pond",,,,,,,,,,,,,
,182,NAD83  ,18N,UTM,INCIDENTAL,24-Jul-16,,,YT,IN-18-May-2016-01,,2312,SCHO,,,4119838,366277,58.3,,M,M,,A,field,field,"pads, burrow 49mm",,Y,N,1,,,,,,,,,
,206,NAD83  ,18N,UTM,INCIDENTAL,20-Sep-16,,,YT,IN-20-Sep-2016-01,,2216,SCHO,,,4120641,363759,,,M,M; pads,,A,Road,,,,,,1,,,,,,,,,
,210,NAD83  ,18N,UTM,INCIDENTAL,20-Sep-16,,,YT,IN-20-Sep-2016-01,,2308,SCHO,,,4118419,366345,,,M,M; pads,,A,Road,,,,,,1,,,,,,,,,
,230,NAD83,18N,UTM,ROAD CRUISE,3-Jun-15,"ADS,ES,KB,MW",Yorktown Tour Roads,YT,RC-03-Jun-15-02,26,1,SCHO,,,4120933,363710,,,M,M,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,35,NAD83,18N,UTM,ROAD CRUISE,3-May-16,"ADS, AO, ML",Yorktown Tour Roads,YT,RC-03-May-2016-01,6,2205,SCHO,1,Adult,4119116,366875,,,M,M,,A,flooded field,,Calling index =1,,,,,,,,,,,,,
,63,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,16,2228,SCHO,,Adult,4118866,366426,,,M,M,,A,Road,,,,,,1,,,,,,,,,
,79,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,32,2331,SCHO,,Adult,4120043,365121,,,M,M,,A,Road,,,,,,1,,,,,,,,,
,82,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,1,2153,SCHO,,Adult,4119028,366868,,,M,M,,A,Road,,pads,,Y,N,1,,,,,,,,,
,85,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,4,2210,SCHO,,Adult,4118431,366347,,,M,M,,A,Field,,,,,,1,,,,,,,,,
,231,NAD83,18N,UTM,TERRESTRIAL VES,13-Jun-15,"ADS,MW,LT",Fire Trail 1,YT,TV-13-Jun-15-01,10,2058,SCHO,,,4118166,365839,55,YES,M,M,18.25,Alive,Leaf litter,Forest,21.6 Head width,,,,1,,,,,,,,,
,252,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,6,2152,SCHO,,,4117834,365111,,,M,M,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,261,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,15,2231,SCHO,,,4117795,365004,,,M,M,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,314,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,CV 24 Cul-de-sac,YT,TV-30-Jul-15-04,3,2110,SCHO,,Adult,4121223,365800,,,M,M,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,258,NAD83,18N,UTM,INCIDENTAL,13-Jun-15,,,YT,IN-29-May-15-01,,2130,SCHO,,,4117869,365867,39,YES,SNBA,J,4.85,A,leaf litter,forest,head width 15.5,,,,1,,,,,,,,,
,393,NAD83,18N,UTM,INCIDENTAL,30-Jul-15,,,YT,IN-30-Jul-15-01,,2212,SCHO,,,4120624,365974,,,SNBA,SNBA,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,394,NAD83,18N,UTM,INCIDENTAL,30-Jul-15,,,YT,IN-30-Jul-15-01,,2212,SCHO,,,4120615,365963,,,SNBA,SNBA,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,395,NAD83,18N,UTM,INCIDENTAL,30-Jul-15,,,YT,IN-30-Jul-15-01,,2215,SCHO,,,4120599,365914,,,SNBA,SNBA,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,13,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,6,2010,SCHO,,Juvenile,4119063,367399,,,SNBA,,,Alive ,Forest,,,,N,N,1,,,,,,,,,
,14,NAD83,18N,UTM,ROAD CRUISE,14-Apr-15,AO AD KM,Yorktown Tour Roads,YT,RC-14-Apr-15-02,7,2010,SCHO,,Juvenile ,4119063,367399,,,SNBA,,,Alive ,Forest,,,,N,N,1,,,,,,,,,
,261,NAD83,18N,UTM,ROAD CRUISE,30-Jul-15,ADS KB ES MW,Yorktown Tour Roads,YT,RC-30-Jul-15-01,6,2052,SCHO,,Juv,4121202,365821,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,16,NAD83,18N,UTM,ROAD CRUISE,27-Mar-16,"AO, ADS",Yorktown Tour Roads,YT,RC-27-Mar-2016-01,2,2015,SCHO,,,4119040,367395,,,SNBA,,,A,leaf litter,forest,"not renamed in GPS, juvenile",,N,N,1,,,,,,,,,
,16,NAD83,18N,UTM,TERRESTRIAL VES,8-Apr-15,AO AD,Fire Trail 1 ,YT ,TV-08-Apr-15-01,5,2220,SCHO,,Juvenile,4117486,365935,,,SNBA,,,Alive,on leaf litter,forest ,,,N,N,1,,,,,,,,,
,222,NAD83,18N,UTM,TERRESTRIAL VES,13-Jun-15,"ADS,MW,LT",Fire Trail 1,YT,TV-13-Jun-15-01,1,2042,SCHO,,,4118323,365823,,,SNBA,J,,Alive,Earth mound in borrow,Forest,Digging into burrow,,,,1,,,,,,,,,
,258,NAD83,18N,UTM,TERRESTRIAL VES,17-Jun-15,"ADS,ES,KB",YT Fire trail 2,YT,TV-17-Jun-15-05,12,2208,SCHO,,,4117758,364909,,,SNBA,J,,Alive,Leaf litter,Forest,,,,,1,,,,,,,,,
,273,NAD83,18N,UTM,TERRESTRIAL VES,19-Jun-15,ADS KB ES,CV 14,YT,TV-19-Jun-15-01,4,1513,SCHO,,Adult ,4119312,367303,,,SNBA,Juv,,Alive,Under log ,Forest ,CV14 Forest ,,,,1,,,,,,,,,
,312,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,CV 24 Cul-de-sac,YT,TV-30-Jul-15-04,1,2100,SCHO,,Juv,4121217,365805,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,319,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,Gooseley Rd Cemetery,YT,TV-30-Jul-15-05,3,2145,SCHO,,Juv,4120678,366119,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,320,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,Gooseley Rd Cemetery,YT,TV-30-Jul-15-05,4,2146,SCHO,,Juv,4120678,366119,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,323,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,Gooseley Rd Cemetery,YT,TV-30-Jul-15-05,7,2153,SCHO,,Juv,4120672,366128,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,324,NAD83,18N,UTM,TERRESTRIAL VES,30-Jul-15,ADS KB ES,Near Gooseley Rd ,YT,TV-30-Jul-15-06,1,2219,SCHO,,Juv,4120589,365925,,,SNBA,,,Alive,Leaf litter,Forest,,,N,N,1,,,,,,,,,
,43,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,1,2213,SCHO,,,4119085,367373,,,SNBA,U,,A,leaf litter,forest,"G, N, N",G,N,N,1,,,,,,,,,
,44,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,2,2221,SCHO,,,4119111,367420,,,SNBA,U,,A,leaf litter,forest,"G, N, N",G,N,N,1,,,,,,,,,
,45,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,3,2223,SCHO,,,4119101,367409,,,SNBA,U,,A,leaf litter,forest,"G, N, N",G,N,N,1,,,,,,,,,
,46,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,4,2223,SCHO,,,4119101,367409,,,SNBA,U,,A,leaf litter,forest,"G, N, N",G,N,N,1,,,,,,,,,
,48,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,6,2242,SCHO,,,4119156,367454,,,SNBA,U,,A,leaf litter,forest,"GY, N, N",GY,N,N,1,,,,,,,,,
,55,NAD83,18N,UTM,INCIDENTAL,3-Apr-15,,,YT,IN-02-Apr-15-01,,2005,SCHO,,,4121444,365845,,,SNBA,,,A,Road colonial pkwy,Yorktown Creek,"1 individual, juvenile?",,N,N,1,,,,,,,,,
,160,NAD83  ,18N,UTM,INCIDENTAL,18-May-16,,,JT,IN-18-May-2016-01,,2045,SCHO,,,4120984,341516,,,U,U,,A,leaf litter,forest,no pads,,N,,1,,,,,,,,,
,78,NAD83,18N,UTM,ROAD CRUISE,3-Jun-16,"ADS, ML, JF, KN",Yorktown Tour Roads,YT,RC-03-Jun-2016-01,31,2318,SCHO,,Adult,4121588,363045,,,U,U,,A,Road,,,,,,1,,,,,,,,,
,87,NAD83,18N,UTM,ROAD CRUISE,16-Jul-16,"ADS, HM, JF",Yorktown Tour Roads,YT,RC-16-Jul-2016-01,6,2214,SCHO,,Adult,4118404,366176,,,U,U,,A,Road,,,,,,1,,,,,,,,,
,49,NAD83  ,18N,UTM,TERRESTRIAL VES,5/10/16,"ADS, MRL",East tour road,YT,TV-16-May-2016-01,7,2245,SCHO,,,4119162,367446,,,U,U,,A,leaf litter,forest,-,,,,1,,,,,,,,,
,142,NAD83,18N,UTM,INCIDENTAL,6-May-15,,,YT,IN-4-May-15-01,,1350,SCHO,,,4120395,364357,,,U,,,A at moment,inside snake,forest,"regurgitated from COCO, bleeding from mouth",,,,1,,,,,,,,,
,165,NAD83,18N,UTM,INCIDENTAL,9-May-15,,,YT,IN-09-May-15-01,,2228,SCHO,,,4118511,364433,,,U,,,A,forest,forest,35 individuals seen near temp pond 2,,,,1,,,,,,,,,
,169,NAD83,18N,UTM,INCIDENTAL,18-May-15,,,YT,IN-19-May-15-01,,1137,SCHO,,,4119035,366877,,,U,,,A,grass,,,,,,1,,,,,,,,,
,196,NAD83,18N,UTM,INCIDENTAL,22-May-15,,,GS,IN-20-May-15-01,,2107,SCHO,,,4125323,339946,,,U,,,A,log,forest,GS,,,,1,,,,,,,,,
,197,NAD83,18N,UTM,INCIDENTAL,22-May-15,,,GS,IN-20-May-15-01,,2129,SCHO,,,4124854,340344,,,U,,,A,leaf litter,forest,GS,,,,1,,,,,,,,,
,201,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2050,SCHO,,,4120040,345616,,,U,,,A,road,forest,parkway during rain,,,,1,,,,,,,,,
,203,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2050,SCHO,,,4120040,345616,,,U,,,A,grass,forest,"parkway during rain, x3, ""SCHO2050""= GPS point ID",,,,1,,,,,,,,,
,204,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,JI,IN-27-May-15-01,,2103,SCHO,,,4119867,342103,,,U,,,A,gravel driveway,forest,JI during rain,,,,1,,,,,,,,,
,214,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2355,SCHO,,,4120829,341641,,,U,,,A,gravel path,forest,glasshouse JI,,,,1,,,,,,,,,
,215,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2355,SCHO,,,4120829,341669,,,U,,,A,gravel path,forest,"Glasshouse JI, x2",,,,2,,,,,,,,,
,216,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2357,SCHO,,,4120867,341696,,,U,,,A,leaf litter,forest,JI glasshouse,,,,1,,,,,,,,,
,218,NAD83,18N,UTM,INCIDENTAL,27-May-15,,,PKWY,IN-27-May-15-01,,2359,SCHO,,,4120903,341704,,,U,,,A,grass,forest,JI glasshouse,,,,1,,,,,,,,,
,227,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,28,SCHO,,,4120225,345022,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,228,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,33,SCHO,,,4119954,346254,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,229,NAD83,18N,UTM,INCIDENTAL,28-May-15,,,PKWY,IN-27-May-15-01,,33,SCHO,,,4119954,346254,,,U,,,A,grass,forest,,,,,1,,,,,,,,,
,270,NAD83,18N,UTM,INCIDENTAL,3-Jun-15,,,PKWY,IN-02-Jun-15-01,,0:07,SCHO,2,,4119938,346228,,,U,,,A,field,field,calling index 2; 1 M+F,,,,1,,,,,,,,,
,298,NAD83,18N,UTM,INCIDENTAL,4-Jun-15,,,YT,IN-03-Jun-15-01,,2127,SCHO,2,,4118976,366475,,,U,,,A,water,wetland in field,calling index 2,,,,,,,,,,,,,
,302,NAD83,18N,UTM,INCIDENTAL,4-Jun-15,,,YT,IN-03-Jun-15-01,,2135,SCHO,,,4118419,365958,,,U,,,A,road,forest,,,,,1,,,,,,,,,
,311,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,5,SCHO,2,,4119341,364668,,,U,,,,water,temporary pond,chorus calling index 2,,,,,,,,,,,,,
,313,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,11,SCHO,1,,4119774,364512,,,U,,,,water,field ditch,chorus index 1,,,,,,,,,,,,,
,316,NAD83,18N,UTM,INCIDENTAL,5-Jun-15,,,YT,IN-03-Jun-15-01,,14,SCHO,1,,4120011,365157,,,U,,,,water,field,chorus index 1,,,,,,,,,,,,,
,364,NAD83,18N,UTM,INCIDENTAL,27-Jun-15,,,PKWY,IN-19-Jun-15-01,,2133,SCHO,1,,4119938,346228,,,U,,,A,water,temp pond,"chorus 1, pkwy",,,,,,,,,,,,,
,33,NAD83  ,18N,UTM,INCIDENTAL,13-Mar-16,,,GS,IN-02-Mar-2016-01,,2030,SCHO,,,4125288,339939,,,U,,,A,leaf litter,forest,,,,,1,,,,,,,,,
,64,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2027,SCHO,,,4121627,363094,,,U,,,A,mowed grass,field,x22 individuals,,,,22,,,,,,,,,
,65,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2028,SCHO,,,4121595,363049,,,U,,,A,mowed grass,field forest,x3,,,,3,,,,,,,,,
,67,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2150,SCHO,,,4121494,363184,,,U,,,A,,forest,,,,,1,,,,,,,,,
,68,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2152,SCHO,,,4121531,363167,,,U,,,A,"burrow, leaf litter",forest,,,,,1,,,,,,,,,
,69,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2153,SCHO,,,4121536,363160,,,U,,,A,"burrow, leaf litter",forest,"large, yellow, no keratinized pads",,N,,1,,,,,,,,,
,71,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2156,SCHO,,,4121591,363120,,,U,,,A,leaf litter,forest,no pads,,N,,1,,,,,,,,,
,72,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2157,SCHO,,,4121596,363112,,,U,,,A,leaf litter,forest,x4 individuals,,,,4,,,,,,,,,
,73,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2159,SCHO,,,4121598,363101,,,U,,,A,leaf litter,forest,"x2 individuals, no pads both",,N,,2,,,,,,,,,
,74,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121620,363112,,,U,,,A,road side,forest field edge,x2,,,,2,,,,,,,,,
,75,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121614,363124,,,U,,,A,road side,forest field edge,x8,,,,8,,,,,,,,,
,76,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121612,363114,,,U,,,A,road side,forest field edge,,,,,1,,,,,,,,,
,77,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2200,SCHO,,,4121604,363096,,,U,,,A,road side,forest field edge,x3,,,,3,,,,,,,,,
,78,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2210,SCHO,,,4120945,363687,,,U,,,A,road side,forest field edge,x3,,,,3,,,,,,,,,
,79,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2210,SCHO,,,4120944,363706,,,U,,,A,road side,forest field edge,x8,,,,8,,,,,,,,,
,81,NAD83  ,18N,UTM,INCIDENTAL,31-Mar-16,,,YT,IN-25-Mar-16-01,,2215,SCHO,,,4120760,363727,,,U,,,A,field edge short grass,field,x2 no pads,,N,,2,,,,,,,,,
,93,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2032,SCHO,,,4120123,363955,,,U,,,A,leaf litter,forest,juvenile,,,,1,,,,,,,,,
,94,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2032,SCHO,,,4120124,363940,,,U,,,A,leaf litter,forest,juvenile,,,,1,,,,,,,,,
,95,NAD83  ,18N,UTM,INCIDENTAL,7-Apr-16,,,YT,IN-01-Apr-2016-01,,2036,SCHO,,,4120506,363831,,,U,,,A,leaf litter,forest,adult,,,,1,,,,,,,,,
