Survey_type,Index,Remove
Plot,35,
Plot,59,
Transect,1256,
Transect,1225,
Transect,1058,remove
Transect,1128,
Transect,1162,
Transect,1052,
Transect,1300,
Transect,237,
Transect,298,
Transect,106,
Transect,178,
Transect,1051,
Transect,1205,
Transect,1060,
Transect,1303,
Transect,141,
Transect,188,
Plot,118,
Plot,210,
Plot,297,remove
Transect,1006,
Transect,1211,
Transect,433,
Transect,670,
Transect,491,
Transect,697,
Transect,998,remove
Transect,1118,remove
Transect,1122,
Transect,1290,
Transect,1003,
Transect,1154,
Transect,731,remove
Transect,743,
Transect,781,
Transect,377,
Transect,599,
Transect,387,
Transect,642,
Plot,460,remove
Plot,473,
Plot,480,
Plot,492,remove
Plot,498,remove
Plot,507,remove
Transect,374,
Transect,595,
Plot,136,
Plot,218,remove
Plot,226,
Plot,318,remove
Plot,347,remove
Transect,372,
Transect,547,
Plot,459,
Plot,472,
Transect,222,
Transect,286,
Transect,318,remove
Transect,331,remove
Plot,21,
Plot,41,
Transect,1027,remove
Transect,1069,
Transect,1253,
Transect,220,
Transect,314,
Transect,429,remove
Transect,523,
Transect,556,
Transect,1017,
Transect,1236,
Transect,1246,remove
Transect,397,
Transect,543,
Transect,711,
Transect,774,
Transect,989,remove
Transect,1035,remove
Transect,1114,
Transect,1284,
Transect,713,remove
Transect,741,
Transect,757,
Transect,981,
Transect,1194,
Transect,860,
Transect,929,
Transect,276,remove
Transect,301,
Transect,343,
Transect,366,remove
Transect,64,remove
Transect,110,
Transect,143,
Transect,471,
Transect,559,
Transect,663,remove
Plot,416,
Plot,431,
Plot,455,remove
Transect,460,remove
Transect,518,remove
Transect,551,
Transect,691,
Transect,243,
Transect,320,
Transect,1123,
Transect,1292,
Transect,477,
Transect,530,
Transect,259,
Transect,354,
Transect,500,
Transect,688,
Transect,1108,
Transect,1265,
Transect,485,
Transect,617,
Transect,256,
Transect,295,
Transect,332,remove
Transect,1168,
Transect,1257,
Transect,620,
Transect,696,