"Survey_type","Index","Remove","Date","Temp_C","X","Y","Plot_ID","Recap","SVL_mm","Mass_g","Pads","Eggs","Animal_ID","Body_condition","Matured_during_study","Stage","capture"
"Plot",35,"",20160609,20.9,"367363","4118974","A","N",54.8,"","N","N","ID-900118001079012","OK","Y","SNBA","1"
"Plot",59,"",20160703,21.5,"367369","4118971","A","R",59.3,"","N","Y","ID-900118001079012","OK","Y","F","2"
"Plot",118,"",20160425,NA,"-","-","B","N",46.5,"9.6","N","N","ID-982000406255129","OK","Y","SNBA","1"
"Plot",210,"",20160624,25.2,"363215","4121487","B","R",49.5,"","Y","N","ID-982000406255129","OK","Y","M","2"
"Transect",387,"",20160428,NA,"365113","4117916","T9","N",43.1,"7.1","N","N","ID-982000406562638","OK","Y","SNBA","1"
"Transect",642,"",20170612,NA,"365122","4117910","T9","R",50.2,"14.1","N","Y","ID-982000406562638","OK","Y","F","2"
"Plot",473,"",20160513,18.9,"365793","4118398","E","R",43.4,"","N","N","ID-982000406562660","OK","Y","SNBA","1"
"Plot",480,"",20160602,23.1,"365797","4118401","E","R",NA,"","Y","N","ID-982000406562660","OK","Y","M","2"
"Plot",136,"",20160507,13.8,"363225","4121475","B","N",48.8,"12.2","N","N","ID-982000406562696","OK","Y","SNBA","1"
"Plot",226,"",20160706,24.8,"363217","4121482","B","R",49.9,"","N","Y","ID-982000406562696","OK","Y","F","2"
"Plot",459,"",20160427,NA,"365789","4118379","E","N",45.9,"8","N","N","ID-982000406562708","OK","Y","SNBA","1"
"Plot",472,"",20160513,18.9,"365792","4118387","E","R",44.9,"","Y","N","ID-982000406562708","OK","Y","M","2"
"Plot",21,"",20160522,15,"367371","4118978","A","N",44.5,"","N","N","ID-982000406562786","OK","Y","SNBA","1"
"Plot",41,"",20160609,20.9,"367368","4118977","A","R",44.6,"","Y","N","ID-982000406562786","OK","Y","M","2"
"Plot",416,"",20160705,25.7,"365735","4120480","C","N",47.1,"","N","N","ID-982000406563163","OK","Y","SNBA","1"
"Plot",431,"",20160721,23.9,"365718","4120470","C","R",45.5,"","N","Y","ID-982000406563163","OK","Y","F","2"
"Transect",1225,"",20170701,NA,"367256","4118911","T18","R",51,"13","N","N","ID-900118001079102","okay","Y","SNBA","1"
"Transect",1256,"",20170616,NA,"367261","4118920","T18","N",45.5,"Pee","N","Y","ID-900118001079102","okay","Y","F","2"
"Transect",1128,"",20160626,22.3,"367345","4118929","T18","R",43.7,"8.8","N","N","ID-900118001080088","OK","Y","SNBA","1"
"Transect",1162,"",20160725,29.9,"367315","4118928","T18","R",44,"8.9","Y","N","ID-900118001080088","OK","Y","M","2"
"Transect",1052,"",20160607,21.8,"367314","4118913","T18","N",47.5,"8.4","N","N","ID-900118001080576","OK","Y","SNBA","1"
"Transect",1300,"",20170616,NA,"367323","4118921","T18","R",46,"10.6","N","Y","ID-900118001080576","okay","Y","F","2"
"Transect",237,"",20160613,22,"363842","4121203","T3","N",53.2,"16.5","N","N","ID-900118001080598","OK","Y","SNBA","1"
"Transect",298,"",20160724,33,"363846","4121210","T3","R",55,"21","Y","N","ID-900118001080598","OK","Y","M","2"
"Transect",106,"",20160710,24.6,"363130","4121418","T0","N",48.7,"11","FAINT","N","ID-900118001080737","OK","Y","M","1"
"Transect",178,"",20170613,NA,"363131","4121420","T0","R",54.1,"16.3","Y","N","ID-900118001080737","OK","Y","M","2"
"Transect",1051,"",20160607,21.8,"367309","4118934","T18","N",46.2,"9.2","N","N","ID-900118001081143","OK","Y","SNBA","1"
"Transect",1205,"",20170611,NA,"367316","4118924","T18","R",47.4,"16","Y","N","ID-900118001081143","OK","Y","M","2"
"Transect",1060,"",20160607,21.8,"367317","4118927","T18","N",41,"7.6","N","N","ID-900118001082086","OK","Y","SNBA","1"
"Transect",1303,"",20170616,NA,"367335","4118916","T18","R",50,"14.8","Y","N","ID-900118001082086","okay","Y","M","2"
"Transect",141,"",20160723,25.7,"363137","4121418","T0","N",47.6,"10.7","N","N","ID-900118001082631","OK","Y","SNBA","1"
"Transect",188,"",20170618,NA,"363136","4121420","T0","R",51,"20","N","Y","ID-900118001082631","Okay","Y","F","2"
"Transect",1006,"",20160510,17.5,"367334","4118931","T18","N",38.1,"4.9","N","N","ID-982000406255134","OK","Y","SNBA","1"
"Transect",1211,"",20170611,NA,"367338","4118919","T18","R",44.8,"5","N","Y","ID-982000406255134","OK","Y","F","2"
"Transect",433,"",20160525,21.7,"365075","4117913","T9","N",42,"6.7","N","N","ID-982000406255151","OK","Y","SNBA","1"
"Transect",670,"",20170617,NA,"365079","4117896","T9","R",42.8,"11.3","Y","N","ID-982000406255151","okay","Y","M","2"
"Transect",491,"",20160619,22,"365094","4117945","T9","N",42.8,"Peed","N","N","ID-982000406255158","OK","Y","SNBA","1"
"Transect",697,"",20170702,NA,"365112","4117908","T9","R",51.8,"15.5","Y","N","ID-982000406255158","enlarged pupil in left eye","Y","M","2"
"Transect",1122,"",20160626,22.3,"367291","4118911","T18","R",44.2,"","N","N","ID-982000406255196","OK","Y","SNBA","1"
"Transect",1290,"",20170616,NA,"367302","4118910","T18","R",44,"8.5","Y","N","ID-982000406255196","okay","Y","M","2"
"Transect",1003,"",20160510,17.5,"367332","4118924","T18","N",39.5,"7.6","N","N","ID-982000406255199","OK","Y","SNBA","1"
"Transect",1154,"",20160711,25.8,"367332","4118924","T18","R",43.1,"9.9","Y","N","ID-982000406255199","OK","Y","M","2"
"Transect",743,"",20160623,24.4,"365044","4119690","T14","R",48.1,"13.6","N","N","ID-982000406562613","OK","Y","SNBA","1"
"Transect",781,"",20170617,NA,"365060","4118703","T14","R",40.8,"16.1","N","Y","ID-982000406562613","OK","Y","F","2"
"Transect",377,"",20160428,NA,"365066","4117875","T9","N",36,"5.2","N","N","ID-982000406562626","OK","Y","SNBA","1"
"Transect",599,"",20170612,NA,"365041","4117858","T9","R",43.9,"11.1","N","Y","ID-982000406562626","OK","Y","F","2"
"Transect",374,"",20160428,NA,"365034","4117891","T9","N",40.4,"6.6","N","N","ID-982000406562677","OK","Y","SNBA","1"
"Transect",595,"",20170612,NA,"365030","4117865","T9","R",50.5,"17.3","N","Y","ID-982000406562677","OK","Y","F","2"
"Transect",372,"",20160428,NA,"365027","4117869","T9","N",41.7,"6.5","N","N","ID-982000406562697","OK","Y","SNBA","1"
"Transect",547,"",20160712,25.3,"365016","4117862","T9","R",47.8,"11.1","N","Y","ID-982000406562697","OK","Y","F","2"
"Transect",222,"",20160604,22.8,"363818","4121197","T3","N",43.1,"9.2","N","N","ID-982000406562745","OK","Y","SNBA","1"
"Transect",286,"",20160724,33,"363821","4121234","T3","R",47.4,"12.1","Y","N","ID-982000406562745","OK","Y","M","2"
"Transect",1069,"",20160618,21.6,"367264","4118890","T18","R",42,"5.8","N","N","ID-982000406562794","OK","Y","SNBA","1"
"Transect",1253,"",20170616,NA,"367266","4118883","T18","R",40,"7.8","N","Y","ID-982000406562794","okay","Y","F","2"
"Transect",220,"",20160604,22.8,"363814","4121208","T3","N",44.3,"9","N","N","ID-982000406562808","OK","Y","SNBA","1"
"Transect",314,"",20160821,25.4,"363814","4121209","T3","R",52,"14","Y","N","ID-982000406562808","OK","Y","M","2"
"Transect",523,"",20160627,24.5,"365084","4117888","T9","R",44.1,"11.6","N","N","ID-982000406562813","OK","Y","SNBA","1"
"Transect",556,"",20160712,25.3,"365068","4117887","T9","R",52,"12.7","Y","N","ID-982000406562813","OK","Y","M","2"
"Transect",1017,"",20160607,21.8,"367252","4118915","T18","N",39.2,"6.8","N","N","ID-982000406562818","OK","Y","SNBA","1"
"Transect",1236,"",20170616,NA,"367245","4118900","T18","R",42.7,"9.2","Y","N","ID-982000406562818","okay","Y","M","2"
"Transect",397,"",20160525,21.7,"365011","4117896","T9","N",44.2,"10.4","N","N","ID-982000406562836","OK","Y","SNBA","1"
"Transect",543,"",20160712,25.3,"365005","4117895","T9","R",51.3,"Peed","N","Y","ID-982000406562836","OK","Y","F","2"
"Transect",711,"",20160524,22.3,"365068","4119695","T14","N",44.6,"11.4","N","N","ID-982000406562841","OK","Y","SNBA","1"
"Transect",774,"",20170612,NA,"365071","4119713","T14","R",50.8,"Peed","N","Y","ID-982000406562841","OK","Y","F","2"
"Transect",1114,"",20160626,22.3,"367313","4118911","T18","R",41.7,"7.8","N","N","ID-982000406562856","OK","Y","SNBA","1"
"Transect",1284,"",20170616,NA,"367299","4118897","T18","R",46,"Pee","N","Y","ID-982000406562856","okay","Y","F","2"
"Transect",741,"",20160623,24.4,"365062","4119741","T14","R",49.3,"13","N","N","ID-982000406562903","OK","Y","SNBA","1"
"Transect",757,"",20160713,26.8,"365053","4119742","T14","R",52.2,"15.5","Y","N","ID-982000406562903","OK","Y","M","2"
"Transect",981,"",20160510,17.5,"367270","4118904","T18","N",45,"10.2","N","Y","ID-982000406562905","OK","Y","F","1"
"Transect",1194,"",20170611,NA,"367265","4118902","T18","R",48.8,"Peed","N","Y","ID-982000406562905","OK","Y","F","2"
"Transect",860,"",20160714,25.5,"365894","4119840","T15","N",39.3,"9.1","N","N","ID-982000406563088","OK","Y","SNBA","1"
"Transect",929,"",20170613,NA,"365894","4119847","T15","R",50.4,"16.1","Y","N","ID-982000406563088","Okay","Y","M","2"
"Transect",301,"",20160724,33,"363827","4121187","T3","R",37.2,"7.6","N","N","ID-982000406563090","OK","Y","SNBA","1"
"Transect",343,"",20170613,NA,"363841","4121183","T3","R",41.6,"8.9","N","Y","ID-982000406563090","OK","Y","F","2"
"Transect",110,"",20160710,24.6,"363143","4121434","T0","R",43.7,"8.1","N","N","ID-982000406563133","OK","Y","SNBA","1"
"Transect",143,"",20160723,25.7,"363127","4121405","T0","R",46,"9.8","Y","N","ID-982000406563133","OK","Y","M","2"
"Transect",471,"",20160619,22,"365068","4117883","T9","N",45,"10.1","N","N","ID-982000406563160","OK","Y","SNBA","1"
"Transect",559,"",20160712,25.3,"365065","4117894","T9","R",44.9,"10","Y","N","ID-982000406563160","OK","Y","M","2"
"Transect",551,"",20160712,25.3,"365053","4117898","T9","R",42.7,"8.2","N","N","ID-982000406563189","OK","Y","SNBA","1"
"Transect",691,"",20170702,NA,"365052","4117899","T9","R",50.1,"13","Y","N","ID-982000406563189","Okay","Y","M","2"
"Transect",243,"",20160625,21.6,"363795","4121223","T3","N",47.9,"8.8","N","N","ID-982000406563192","OK","Y","SNBA","1"
"Transect",320,"",20170515,NA,"363826","4121220","T3","R",46.5,"19.5","Y","N","ID-982000406563192","OK","Y","M","2"
"Transect",1123,"",20160626,22.3,"367303","4118923","T18","N",38.4,"6.8","N","N","ID-982000406563219","OK","Y","SNBA","1"
"Transect",1292,"",20170616,NA,"367302","4118928","T18","R",40,"7.6","N","Y","ID-982000406563219","okay","Y","F","2"
"Transect",477,"",20160619,22,"365068","4117888","T9","N",44.9,"10.5","N","N","ID-982000406563232","OK","Y","SNBA","1"
"Transect",530,"",20160627,24.5,"365086","4117909","T9","R",45.7,"Peed","Y","N","ID-982000406563232","OK","Y","M","2"
"Transect",259,"",20160709,25.9,"363836","4121218","T3","N",46.2,"11.6","N","N","ID-982000406563279","OK","Y","SNBA","1"
"Transect",354,"",20170618,NA,"363822","4121208","T3","R",52.4,"Pee","Y","N","ID-982000406563279","Okay","Y","M","2"
"Transect",500,"",20160619,22,"365099","4117860","T9","N",41.6,"Peed","N","N","ID-982000406563281","OK","Y","SNBA","1"
"Transect",688,"",20170617,NA,"365108","4117900","T9","R",45.5,"8.8","Y","N","ID-982000406563281","okay","Y","M","2"
"Transect",1108,"",20160626,22.3,"367246","4118875","T18","N",47.6,"10.6","N","N","ID-982000406563292","OK","Y","SNBA","1"
"Transect",1265,"",20170616,NA,"367259","4118906","T18","R",46,"Pee","N","Y","ID-982000406563292","okay","Y","F","2"
"Transect",485,"",20160619,22,"365070","4117890","T9","N",40.3,"7.5","N","N","ID-982000406563298","OK","Y","SNBA","1"
"Transect",617,"",20170612,NA,"365100","4117912","T9","R",40.2,"9.3","Y","N","ID-982000406563298","OK","Y","M","2"
"Transect",256,"",20160709,25.9,"363830","4121230","T3","N",46.1,"9.7","N","N","ID-982000406563318","OK","Y","SNBA","1"
"Transect",295,"",20160724,33,"363817","4121219","T3","R",45.4,"9.5","N","Y","ID-982000406563318","OK","Y","F","2"
"Transect",1168,"",20170515,NA,"367263","4118920","T18","N",44.8,"13.5","N","N","ID-982000407040798","","Y","SNBA","1"
"Transect",1257,"",20170616,NA,"367273","4118900","T18","R",46.5,"12.1","N","Y","ID-982000407040798","okay","Y","F","2"
"Transect",620,"",20170612,NA,"365085","4117920","T9","N",38.2,"6.7","N","N","ID-982000407040812","OK","Y","SNBA","1"
"Transect",696,"",20170702,NA,"365088","4117816","T9","R",44.8,"9.75","N","Y","ID-982000407040812","okay","Y","F","2"
